fate,count,library,sample
unparseable barcode,489914,Fc-Lib01,TiteSeq_0.05875_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05875_bin1
valid barcode,4441613,Fc-Lib01,TiteSeq_0.05875_bin2
invalid barcode,2748379,Fc-Lib01,TiteSeq_0.05875_bin2
low quality barcode,715746,Fc-Lib01,TiteSeq_0.05875_bin2
unparseable barcode,462857,Fc-Lib01,TiteSeq_0.05875_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05875_bin2
valid barcode,4530157,Fc-Lib01,TiteSeq_0.05875_bin3
invalid barcode,2772203,Fc-Lib01,TiteSeq_0.05875_bin3
unparseable barcode,1062109,Fc-Lib01,TiteSeq_0.05875_bin3
low quality barcode,732392,Fc-Lib01,TiteSeq_0.05875_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05875_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.05875_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.05875_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.05875_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.05875_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.05875_bin4
valid barcode,2757167,Fc-Lib01,TiteSeq_0.1762_bin1
invalid barcode,1993476,Fc-Lib01,TiteSeq_0.1762_bin1
low quality barcode,493779,Fc-Lib01,TiteSeq_0.1762_bin1
unparseable barcode,378236,Fc-Lib01,TiteSeq_0.1762_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1762_bin1
valid barcode,2924544,Fc-Lib01,TiteSeq_0.1762_bin2
invalid barcode,1829125,Fc-Lib01,TiteSeq_0.1762_bin2
low quality barcode,446018,Fc-Lib01,TiteSeq_0.1762_bin2
unparseable barcode,282345,Fc-Lib01,TiteSeq_0.1762_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1762_bin2
valid barcode,3683625,Fc-Lib01,TiteSeq_0.1762_bin3
invalid barcode,2219572,Fc-Lib01,TiteSeq_0.1762_bin3
low quality barcode,592322,Fc-Lib01,TiteSeq_0.1762_bin3
unparseable barcode,399301,Fc-Lib01,TiteSeq_0.1762_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1762_bin3
unparseable barcode,4495217,Fc-Lib01,TiteSeq_0.1762_bin4
valid barcode,505594,Fc-Lib01,TiteSeq_0.1762_bin4
invalid barcode,308514,Fc-Lib01,TiteSeq_0.1762_bin4
low quality barcode,72757,Fc-Lib01,TiteSeq_0.1762_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1762_bin4
valid barcode,2540434,Fc-Lib01,TiteSeq_0.5287_bin1
invalid barcode,1882272,Fc-Lib01,TiteSeq_0.5287_bin1
unparseable barcode,675972,Fc-Lib01,TiteSeq_0.5287_bin1
low quality barcode,401220,Fc-Lib01,TiteSeq_0.5287_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5287_bin1
valid barcode,2481125,Fc-Lib01,TiteSeq_0.5287_bin2
invalid barcode,1655214,Fc-Lib01,TiteSeq_0.5287_bin2
low quality barcode,391367,Fc-Lib01,TiteSeq_0.5287_bin2
unparseable barcode,284336,Fc-Lib01,TiteSeq_0.5287_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5287_bin2
valid barcode,3563449,Fc-Lib01,TiteSeq_0.5287_bin3
invalid barcode,2167656,Fc-Lib01,TiteSeq_0.5287_bin3
low quality barcode,545008,Fc-Lib01,TiteSeq_0.5287_bin3
unparseable barcode,337965,Fc-Lib01,TiteSeq_0.5287_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5287_bin3
valid barcode,2942993,Fc-Lib01,TiteSeq_0.5287_bin4
invalid barcode,1714215,Fc-Lib01,TiteSeq_0.5287_bin4
unparseable barcode,563469,Fc-Lib01,TiteSeq_0.5287_bin4
low quality barcode,456326,Fc-Lib01,TiteSeq_0.5287_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5287_bin4
valid barcode,1737883,Fc-Lib01,TiteSeq_01.59_bin1
invalid barcode,1405081,Fc-Lib01,TiteSeq_01.59_bin1
unparseable barcode,999671,Fc-Lib01,TiteSeq_01.59_bin1
low quality barcode,325729,Fc-Lib01,TiteSeq_01.59_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_01.59_bin1
valid barcode,2619268,Fc-Lib01,TiteSeq_01.59_bin2
invalid barcode,1885368,Fc-Lib01,TiteSeq_01.59_bin2
low quality barcode,447731,Fc-Lib01,TiteSeq_01.59_bin2
unparseable barcode,324818,Fc-Lib01,TiteSeq_01.59_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_01.59_bin2
valid barcode,2767182,Fc-Lib01,TiteSeq_01.59_bin3
invalid barcode,1705348,Fc-Lib01,TiteSeq_01.59_bin3
low quality barcode,494274,Fc-Lib01,TiteSeq_01.59_bin3
unparseable barcode,275491,Fc-Lib01,TiteSeq_01.59_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_01.59_bin3
valid barcode,2785375,Fc-Lib01,TiteSeq_01.59_bin4
invalid barcode,1672532,Fc-Lib01,TiteSeq_01.59_bin4
low quality barcode,478790,Fc-Lib01,TiteSeq_01.59_bin4
unparseable barcode,326445,Fc-Lib01,TiteSeq_01.59_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_01.59_bin4
unparseable barcode,1,Fc-Lib01,TiteSeq_04.76_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_04.76_bin1
invalid barcode,0,Fc-Lib01,TiteSeq_04.76_bin1
low quality barcode,0,Fc-Lib01,TiteSeq_04.76_bin1
valid barcode,0,Fc-Lib01,TiteSeq_04.76_bin1
valid barcode,2532263,Fc-Lib01,TiteSeq_04.76_bin2
invalid barcode,1863861,Fc-Lib01,TiteSeq_04.76_bin2
low quality barcode,457549,Fc-Lib01,TiteSeq_04.76_bin2
unparseable barcode,342741,Fc-Lib01,TiteSeq_04.76_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_04.76_bin2
valid barcode,2632621,Fc-Lib01,TiteSeq_04.76_bin3
invalid barcode,1678642,Fc-Lib01,TiteSeq_04.76_bin3
low quality barcode,422405,Fc-Lib01,TiteSeq_04.76_bin3
unparseable barcode,285222,Fc-Lib01,TiteSeq_04.76_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_04.76_bin3
valid barcode,3347786,Fc-Lib01,TiteSeq_04.76_bin4
invalid barcode,2038687,Fc-Lib01,TiteSeq_04.76_bin4
low quality barcode,508914,Fc-Lib01,TiteSeq_04.76_bin4
