fate,count,library,sample
unparseable barcode,391071,Fc-Lib01,TiteSeq_0.06889_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.06889_bin1
valid barcode,3245915,Fc-Lib01,TiteSeq_0.06889_bin2
invalid barcode,1967694,Fc-Lib01,TiteSeq_0.06889_bin2
low quality barcode,519423,Fc-Lib01,TiteSeq_0.06889_bin2
unparseable barcode,401483,Fc-Lib01,TiteSeq_0.06889_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.06889_bin2
valid barcode,4092372,Fc-Lib01,TiteSeq_0.06889_bin3
invalid barcode,2514093,Fc-Lib01,TiteSeq_0.06889_bin3
low quality barcode,797103,Fc-Lib01,TiteSeq_0.06889_bin3
unparseable barcode,680125,Fc-Lib01,TiteSeq_0.06889_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.06889_bin3
unparseable barcode,5120982,Fc-Lib01,TiteSeq_0.06889_bin4
valid barcode,439583,Fc-Lib01,TiteSeq_0.06889_bin4
invalid barcode,299780,Fc-Lib01,TiteSeq_0.06889_bin4
low quality barcode,79511,Fc-Lib01,TiteSeq_0.06889_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.06889_bin4
valid barcode,2446697,Fc-Lib01,TiteSeq_0.2067_bin1
invalid barcode,1787955,Fc-Lib01,TiteSeq_0.2067_bin1
unparseable barcode,493154,Fc-Lib01,TiteSeq_0.2067_bin1
low quality barcode,357426,Fc-Lib01,TiteSeq_0.2067_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.2067_bin1
valid barcode,3116198,Fc-Lib01,TiteSeq_0.2067_bin2
invalid barcode,1949980,Fc-Lib01,TiteSeq_0.2067_bin2
low quality barcode,560798,Fc-Lib01,TiteSeq_0.2067_bin2
unparseable barcode,413082,Fc-Lib01,TiteSeq_0.2067_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.2067_bin2
valid barcode,3454631,Fc-Lib01,TiteSeq_0.2067_bin3
invalid barcode,2104694,Fc-Lib01,TiteSeq_0.2067_bin3
low quality barcode,591865,Fc-Lib01,TiteSeq_0.2067_bin3
unparseable barcode,405311,Fc-Lib01,TiteSeq_0.2067_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.2067_bin3
valid barcode,2780809,Fc-Lib01,TiteSeq_0.2067_bin4
invalid barcode,1724117,Fc-Lib01,TiteSeq_0.2067_bin4
low quality barcode,487630,Fc-Lib01,TiteSeq_0.2067_bin4
unparseable barcode,381336,Fc-Lib01,TiteSeq_0.2067_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.2067_bin4
valid barcode,2270504,Fc-Lib01,TiteSeq_0.6201_bin1
invalid barcode,1715109,Fc-Lib01,TiteSeq_0.6201_bin1
unparseable barcode,1275947,Fc-Lib01,TiteSeq_0.6201_bin1
low quality barcode,399164,Fc-Lib01,TiteSeq_0.6201_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.6201_bin1
valid barcode,2399565,Fc-Lib01,TiteSeq_0.6201_bin2
invalid barcode,1699025,Fc-Lib01,TiteSeq_0.6201_bin2
unparseable barcode,532828,Fc-Lib01,TiteSeq_0.6201_bin2
low quality barcode,350376,Fc-Lib01,TiteSeq_0.6201_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.6201_bin2
valid barcode,2881798,Fc-Lib01,TiteSeq_0.6201_bin3
invalid barcode,1763857,Fc-Lib01,TiteSeq_0.6201_bin3
low quality barcode,714484,Fc-Lib01,TiteSeq_0.6201_bin3
unparseable barcode,395098,Fc-Lib01,TiteSeq_0.6201_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.6201_bin3
valid barcode,3166272,Fc-Lib01,TiteSeq_0.6201_bin4
invalid barcode,1938066,Fc-Lib01,TiteSeq_0.6201_bin4
low quality barcode,507330,Fc-Lib01,TiteSeq_0.6201_bin4
unparseable barcode,345426,Fc-Lib01,TiteSeq_0.6201_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.6201_bin4
unparseable barcode,2985205,Fc-Lib01,TiteSeq_01.86_bin1
valid barcode,1478646,Fc-Lib01,TiteSeq_01.86_bin1
invalid barcode,1234786,Fc-Lib01,TiteSeq_01.86_bin1
low quality barcode,299880,Fc-Lib01,TiteSeq_01.86_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_01.86_bin1
valid barcode,2686365,Fc-Lib01,TiteSeq_01.86_bin2
invalid barcode,2019052,Fc-Lib01,TiteSeq_01.86_bin2
unparseable barcode,676511,Fc-Lib01,TiteSeq_01.86_bin2
low quality barcode,430680,Fc-Lib01,TiteSeq_01.86_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_01.86_bin2
valid barcode,2980147,Fc-Lib01,TiteSeq_01.86_bin3
invalid barcode,1919943,Fc-Lib01,TiteSeq_01.86_bin3
unparseable barcode,495906,Fc-Lib01,TiteSeq_01.86_bin3
low quality barcode,487094,Fc-Lib01,TiteSeq_01.86_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_01.86_bin3
valid barcode,3300078,Fc-Lib01,TiteSeq_01.86_bin4
invalid barcode,2015822,Fc-Lib01,TiteSeq_01.86_bin4
low quality barcode,478242,Fc-Lib01,TiteSeq_01.86_bin4
unparseable barcode,407329,Fc-Lib01,TiteSeq_01.86_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_01.86_bin4
unparseable barcode,8527464,Fc-Lib01,TiteSeq_05.58_bin1
invalid barcode,101189,Fc-Lib01,TiteSeq_05.58_bin1
valid barcode,70074,Fc-Lib01,TiteSeq_05.58_bin1
low quality barcode,17840,Fc-Lib01,TiteSeq_05.58_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_05.58_bin1
valid barcode,2380728,Fc-Lib01,TiteSeq_05.58_bin2
invalid barcode,1895126,Fc-Lib01,TiteSeq_05.58_bin2
unparseable barcode,947912,Fc-Lib01,TiteSeq_05.58_bin2
low quality barcode,467989,Fc-Lib01,TiteSeq_05.58_bin2
