fate,count,library,sample
unparseable barcode,366207,Fc-Lib01,TiteSeq_0.1744_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin1
valid barcode,3776382,Fc-Lib01,TiteSeq_0.1744_bin2
invalid barcode,2439528,Fc-Lib01,TiteSeq_0.1744_bin2
low quality barcode,477502,Fc-Lib01,TiteSeq_0.1744_bin2
unparseable barcode,331061,Fc-Lib01,TiteSeq_0.1744_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin2
valid barcode,4517452,Fc-Lib01,TiteSeq_0.1744_bin3
invalid barcode,2772685,Fc-Lib01,TiteSeq_0.1744_bin3
low quality barcode,615658,Fc-Lib01,TiteSeq_0.1744_bin3
unparseable barcode,393837,Fc-Lib01,TiteSeq_0.1744_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin3
unparseable barcode,1,Fc-Lib01,TiteSeq_0.1744_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.1744_bin4
invalid barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
low quality barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
valid barcode,0,Fc-Lib01,TiteSeq_0.1744_bin4
valid barcode,4183206,Fc-Lib01,TiteSeq_0.5233_bin1
invalid barcode,3020700,Fc-Lib01,TiteSeq_0.5233_bin1
low quality barcode,607099,Fc-Lib01,TiteSeq_0.5233_bin1
unparseable barcode,467843,Fc-Lib01,TiteSeq_0.5233_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5233_bin1
valid barcode,3817975,Fc-Lib01,TiteSeq_0.5233_bin2
invalid barcode,2430446,Fc-Lib01,TiteSeq_0.5233_bin2
low quality barcode,506555,Fc-Lib01,TiteSeq_0.5233_bin2
unparseable barcode,349103,Fc-Lib01,TiteSeq_0.5233_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5233_bin2
valid barcode,3910616,Fc-Lib01,TiteSeq_0.5233_bin3
invalid barcode,2402620,Fc-Lib01,TiteSeq_0.5233_bin3
low quality barcode,468132,Fc-Lib01,TiteSeq_0.5233_bin3
unparseable barcode,342071,Fc-Lib01,TiteSeq_0.5233_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5233_bin3
valid barcode,2793089,Fc-Lib01,TiteSeq_0.5233_bin4
invalid barcode,1666574,Fc-Lib01,TiteSeq_0.5233_bin4
low quality barcode,398946,Fc-Lib01,TiteSeq_0.5233_bin4
unparseable barcode,335973,Fc-Lib01,TiteSeq_0.5233_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_0.5233_bin4
unparseable barcode,1669900,Fc-Lib01,TiteSeq_01.57_bin1
valid barcode,319837,Fc-Lib01,TiteSeq_01.57_bin1
invalid barcode,239614,Fc-Lib01,TiteSeq_01.57_bin1
low quality barcode,48463,Fc-Lib01,TiteSeq_01.57_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_01.57_bin1
valid barcode,3609960,Fc-Lib01,TiteSeq_01.57_bin2
invalid barcode,2521531,Fc-Lib01,TiteSeq_01.57_bin2
low quality barcode,498071,Fc-Lib01,TiteSeq_01.57_bin2
unparseable barcode,350167,Fc-Lib01,TiteSeq_01.57_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_01.57_bin2
valid barcode,3606339,Fc-Lib01,TiteSeq_01.57_bin3
invalid barcode,2222293,Fc-Lib01,TiteSeq_01.57_bin3
low quality barcode,479727,Fc-Lib01,TiteSeq_01.57_bin3
unparseable barcode,304761,Fc-Lib01,TiteSeq_01.57_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_01.57_bin3
valid barcode,4274327,Fc-Lib01,TiteSeq_01.57_bin4
