fate,count,library,sample
valid barcode,2792212,Fc-Lib01,TiteSeq_01.56_bin1
invalid barcode,1976383,Fc-Lib01,TiteSeq_01.56_bin1
unparseable barcode,583611,Fc-Lib01,TiteSeq_01.56_bin1
low quality barcode,385409,Fc-Lib01,TiteSeq_01.56_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_01.56_bin1
valid barcode,2526414,Fc-Lib01,TiteSeq_01.56_bin2
invalid barcode,1586698,Fc-Lib01,TiteSeq_01.56_bin2
low quality barcode,363222,Fc-Lib01,TiteSeq_01.56_bin2
unparseable barcode,301013,Fc-Lib01,TiteSeq_01.56_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_01.56_bin2
valid barcode,2599144,Fc-Lib01,TiteSeq_01.56_bin3
invalid barcode,1580237,Fc-Lib01,TiteSeq_01.56_bin3
low quality barcode,344357,Fc-Lib01,TiteSeq_01.56_bin3
unparseable barcode,271890,Fc-Lib01,TiteSeq_01.56_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_01.56_bin3
valid barcode,2662838,Fc-Lib01,TiteSeq_01.56_bin4
invalid barcode,1659925,Fc-Lib01,TiteSeq_01.56_bin4
low quality barcode,406529,Fc-Lib01,TiteSeq_01.56_bin4
unparseable barcode,311767,Fc-Lib01,TiteSeq_01.56_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_01.56_bin4
valid barcode,3237495,Fc-Lib01,TiteSeq_04.68_bin1
invalid barcode,2056857,Fc-Lib01,TiteSeq_04.68_bin1
unparseable barcode,1673017,Fc-Lib01,TiteSeq_04.68_bin1
low quality barcode,435910,Fc-Lib01,TiteSeq_04.68_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_04.68_bin1
valid barcode,2228441,Fc-Lib01,TiteSeq_04.68_bin2
invalid barcode,1591629,Fc-Lib01,TiteSeq_04.68_bin2
low quality barcode,360258,Fc-Lib01,TiteSeq_04.68_bin2
unparseable barcode,355327,Fc-Lib01,TiteSeq_04.68_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_04.68_bin2
valid barcode,2355653,Fc-Lib01,TiteSeq_04.68_bin3
invalid barcode,1466221,Fc-Lib01,TiteSeq_04.68_bin3
low quality barcode,346911,Fc-Lib01,TiteSeq_04.68_bin3
unparseable barcode,277985,Fc-Lib01,TiteSeq_04.68_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_04.68_bin3
valid barcode,2425589,Fc-Lib01,TiteSeq_04.68_bin4
invalid barcode,1482018,Fc-Lib01,TiteSeq_04.68_bin4
low quality barcode,357339,Fc-Lib01,TiteSeq_04.68_bin4
unparseable barcode,258331,Fc-Lib01,TiteSeq_04.68_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_04.68_bin4
unparseable barcode,3872949,Fc-Lib01,TiteSeq_14.04_bin1
valid barcode,968750,Fc-Lib01,TiteSeq_14.04_bin1
invalid barcode,621082,Fc-Lib01,TiteSeq_14.04_bin1
low quality barcode,149185,Fc-Lib01,TiteSeq_14.04_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_14.04_bin1
valid barcode,2360885,Fc-Lib01,TiteSeq_14.04_bin2
invalid barcode,1724745,Fc-Lib01,TiteSeq_14.04_bin2
unparseable barcode,432910,Fc-Lib01,TiteSeq_14.04_bin2
low quality barcode,355419,Fc-Lib01,TiteSeq_14.04_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_14.04_bin2
valid barcode,2841497,Fc-Lib01,TiteSeq_14.04_bin3
invalid barcode,1861585,Fc-Lib01,TiteSeq_14.04_bin3
unparseable barcode,405855,Fc-Lib01,TiteSeq_14.04_bin3
low quality barcode,379128,Fc-Lib01,TiteSeq_14.04_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_14.04_bin3
valid barcode,2800756,Fc-Lib01,TiteSeq_14.04_bin4
invalid barcode,1719528,Fc-Lib01,TiteSeq_14.04_bin4
low quality barcode,370997,Fc-Lib01,TiteSeq_14.04_bin4
unparseable barcode,307701,Fc-Lib01,TiteSeq_14.04_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_14.04_bin4
unparseable barcode,1987301,Fc-Lib01,TiteSeq_42.13_bin1
valid barcode,1921191,Fc-Lib01,TiteSeq_42.13_bin1
invalid barcode,1215037,Fc-Lib01,TiteSeq_42.13_bin1
low quality barcode,271563,Fc-Lib01,TiteSeq_42.13_bin1
failed chastity filter,0,Fc-Lib01,TiteSeq_42.13_bin1
valid barcode,2204110,Fc-Lib01,TiteSeq_42.13_bin2
invalid barcode,1654026,Fc-Lib01,TiteSeq_42.13_bin2
unparseable barcode,451476,Fc-Lib01,TiteSeq_42.13_bin2
low quality barcode,314179,Fc-Lib01,TiteSeq_42.13_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_42.13_bin2
valid barcode,2458272,Fc-Lib01,TiteSeq_42.13_bin3
invalid barcode,1606519,Fc-Lib01,TiteSeq_42.13_bin3
unparseable barcode,402489,Fc-Lib01,TiteSeq_42.13_bin3
low quality barcode,395943,Fc-Lib01,TiteSeq_42.13_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_42.13_bin3
valid barcode,2449240,Fc-Lib01,TiteSeq_42.13_bin4
invalid barcode,1497248,Fc-Lib01,TiteSeq_42.13_bin4
low quality barcode,394924,Fc-Lib01,TiteSeq_42.13_bin4
unparseable barcode,284004,Fc-Lib01,TiteSeq_42.13_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_42.13_bin4
